Month,RFC,Not RFC,Total WL,% RFC
2010-07-01,1933,314,2247,0.860258122
2010-08-01,2061,340,2401,0.858392337
2010-09-01,2040,338,2378,0.857863751
2010-10-01,2103,340,2443,0.860826852
2010-11-01,2179,346,2525,0.862970297
2010-12-01,2265,343,2608,0.868481595
2011-01-01,2207,313,2520,0.875793651
2011-02-01,2269,263,2532,0.896129542
2011-03-01,2408,272,2680,0.898507463
2011-04-01,2373,309,2682,0.884787472
2011-05-01,2450,347,2797,0.875938506
2011-06-01,2468,335,2803,0.880485194
2011-07-01,2487,378,2865,0.868062827
2011-08-01,2508,391,2899,0.865125905
2011-09-01,2481,383,2864,0.86627095
2011-10-01,2503,404,2907,0.861025112
2011-11-01,2713,397,3110,0.872347267
2011-12-01,2910,384,3294,0.883424408
2012-01-01,2825,349,3174,0.890044108
2012-02-01,2940,328,3268,0.899632803
2012-03-01,3045,337,3382,0.90035482
2012-04-01,3027,345,3372,0.897686833
2012-05-01,3168,362,3530,0.897450425
2012-06-01,3213,400,3613,0.88928868
2012-07-01,3233,434,3667,0.881647123
2012-08-01,3204,443,3647,0.878530299
2012-09-01,3267,432,3699,0.883211679
2012-10-01,3302,427,3729,0.885492089
2012-11-01,3420,439,3859,0.886239959
2012-12-01,3504,432,3936,0.890243902
2013-01-01,3470,445,3915,0.88633461
2013-02-01,3391,474,3865,0.877360931
2013-03-01,3388,436,3824,0.885983264
2013-04-01,3334,437,3771,0.884115619
2013-05-01,3384,451,3835,0.882398957
2013-06-01,3379,456,3835,0.881095176
2013-07-01,3282,467,3749,0.875433449
2013-08-01,3387,500,3887,0.871366092
2013-09-01,3337,463,3800,0.878157895
2013-10-01,3329,459,3788,0.878827878
2013-11-01,3471,419,3890,0.892287918
2013-12-01,3628,383,4011,0.90451259
2014-01-01,3546,390,3936,0.900914634
2014-02-01,3516,423,3939,0.892612338
2014-03-01,3536,417,3953,0.894510498
2014-04-01,3480,418,3898,0.892765521
2014-05-01,3089,463,3552,0.869650901
2014-06-01,2786,520,3306,0.842710224
2014-07-01,2897,484,3381,0.856847087
2014-08-01,2880,463,3343,0.861501645
2014-09-01,2856,444,3300,0.865454545
2014-10-01,2825,438,3263,0.865767698
2014-11-01,2790,435,3225,0.865116279
2014-12-01,2756,476,3232,0.852722772
2015-01-01,2654,425,3079,0.861968171
2015-02-01,2539,479,3018,0.84128562
2015-03-01,2480,494,2974,0.833893746
2015-04-01,2453,475,2928,0.837773224
2015-05-01,2366,525,2891,0.818401937
2015-06-01,2253,542,2795,0.80608229
2015-07-01,2227,560,2787,0.799067097
2015-08-01,2149,574,2723,0.789203085
2015-09-01,2114,558,2672,0.791167665
2015-10-01,2136,531,2667,0.800899888
2015-11-01,2172,473,2645,0.821172023
2015-12-01,2385,454,2839,0.840084537
2016-01-01,2119,391,2510,0.844223108
2016-02-01,1944,386,2330,0.834334764
2016-03-01,1956,366,2322,0.842377261
2016-04-01,1980,352,2332,0.849056604
2016-05-01,1855,356,2211,0.838986884
2016-06-01,1811,336,2147,0.843502562
2016-07-01,1844,315,2159,0.85409912
2016-08-01,1836,358,2194,0.836827712
2016-09-01,1949,327,2276,0.856326889
2016-10-01,1986,331,2317,0.857142857
2016-11-01,2018,346,2364,0.853637902
2016-12-01,2115,349,2464,0.85836039
2017-01-01,1967,322,2289,0.859327217
2017-02-01,1961,383,2344,0.836604096
2017-03-01,2010,406,2416,0.831953642
2017-04-01,1980,383,2363,0.837917901
2017-05-01,1942,428,2370,0.819409283
2017-06-01,1895,497,2392,0.79222408
2017-07-01,2022,432,2454,0.82396088
2017-08-01,2045,452,2497,0.818982779
2017-09-01,2093,435,2528,0.827927215
2017-10-01,2071,435,2506,0.8264166
2017-11-01,2204,441,2645,0.833270321
2017-12-01,2321,373,2694,0.861544172
2018-01-01,2259,335,2594,0.870855821
2018-02-01,2235,353,2588,0.863601236
2018-03-01,2230,390,2620,0.851145038
2018-04-01,2243,368,2611,0.859057832
2018-05-01,2251,351,2602,0.865103766
